cad535b5-aeb9-4728-8afe-94d23dd9667b,dbb5dad7-26fc-444e-aede-25aed598aaab,847 Jackson Street,,,,40000,863,7-6-2000,Arcadia,mgreer638@aol.com,3,Mel,M,High School,Greer,,"Single, Never Married",,388-8120,34266,,4-6-2016,Mr,FL
de2f5aeb-3a2e-4a5e-8c25-e96f969a41e5,59762416-06d7-469e-a162-58f7ba9aa7f9,32 Valley Drive,,,,71000,484,12-28-1958,Bethlehem,pickett362@gmail.com,1,Delana,F,Post Graduate,Pickett,,"Unmarried, Living With Partner",,594-0806,18016,,3-4-1995,Miss,PA
bcd0527e-83bc-4a9f-96fb-b70cb6405ccd,57f09f7b-a3df-4f08-ae48-075d766a045c,638 Forest Drive,,,,32000,845,12-5-1979,Tappan,luciacosta535@gmail.com,3,Lucien,M,Illiterate,Acosta,,Divorced Or Separated,,978-5886,10983,,5-5-2006,Mr,NY
1fc36602-6b56-4505-b5bd-fdeefe9311ce,313fb10a-0f2a-4ad2-8322-19784e943ee4,422 King Street,,,,795000,252,4-5-1972,Tyner,ramirez588@aol.com,2,Jordan,M,Doctorate,Ramirez,,Divorced Or Separated,,728-6010,27980,,2-16-1996,Mr,NC
a47f83c8-6c35-495c-87c2-49c83ea674eb,303f7309-2b39-4b85-b7a4-a50a3fe75f05,375 River Street,,,,143000,254,9-27-1996,Killeen,hstokes95@mail.com,2,Ha,F,Post Graduate,Stokes,,Divorced Or Separated,,433-9941,76543,,8-20-2015,Miss,TX
e6cecfda-9657-4521-95fe-2cbf4c41d587,fd5a1c12-7067-4afa-9391-8ee2ffbddfcb,125 Pearl Street,,,,38000,304,4-24-1990,Gallipolis Ferry,fox573@yahoo.com,3,Alden,M,High School,Fox,,Married,,601-8485,25515,,7-23-2012,Mr,WV
bb606212-6b06-405f-bd89-4c70357a1378,6a9f902d-e312-41b4-8545-895a93f9842c,893 Front Street North,,,,50000,662,2-25-1951,Hollandale,rifarley501@gmail.com,1,Rigoberto,M,Post Graduate,Farley,,Married,,399-7308,38748,,9-7-1998,Mr,MS
cb1c171d-36c4-4078-86e9-fe64a2d59c34,061f8c93-d7b8-45d6-9642-211a764c8c89,707 Route 2,,,,19000,785,1-26-1982,Aurora,jeninmunoz353@rediffmail.com,4,Jenine,F,Illiterate,Munoz,,Widowed,,858-8835,67417,,12-4-2003,Mrs,KS
7ea0ea3b-92d5-42da-be4d-fd71ff0fb7bb,4d97c8da-268c-420d-8d28-4874c2873789,544 Buttonwood Drive,,,,32000,610,11-6-1945,Bethlehem,maloriwalker9@mail.com,2,Malorie,F,High School,Walker,,"Single, Never Married",,989-3525,18016,,7-16-1998,Miss,PA
b1b2b4ab-4a9b-4a54-b411-12f34400e31b,13a04072-9118-4c34-b419-7acf5f17a630,557 Lexington Drive,,,,77000,701,12-20-1970,Fargo,armaortiz650@gmail.com,4,Armand,M,Post Graduate,Ortiz,,Widowed,,463-5486,58107,,12-24-2003,Mr,ND
5caa2b10-221c-4aef-8493-e8a66ccd0fa3,4852be01-e688-4cc6-8a0d-ae026deb0b79,299 Fairview Road,,,,27000,301,12-7-1953,Greenbelt,joscalhoun231@mail.com,1,Josue,M,High School,Calhoun,,"Single, Never Married",,862-1329,20771,,10-16-1986,Mr,MD
36084153-704f-4bd4-8a49-fdc0e0654a76,e44ca329-ae56-4580-860a-7e6e3ccc713f,143 Oak Lane,,,,36000,608,5-13-1936,Necedah,walsh683@yahoo.com,1,Alphonso,M,High School,Walsh,,Widowed,,340-0988,54646,,11-29-1982,Mr,WI
ec87082b-2c66-4170-be74-43a6413b2bd0,b66590e9-41c0-4304-a2fc-e527a4e9c17e,557 Route 5,,,,400000,814,6-24-1971,Knox,mrowe159@rediffmail.com,3,Minh,M,Doctorate,Rowe,,Married,,588-3597,16232,,11-22-2008,Mr,PA
68d6c04e-799d-406a-9c50-0e13cbd04ffd,93fdd69d-b68b-4b35-b865-b8b4259293cb,591 Cedar Court,,,,31000,812,1-7-1953,Dugger,deloisjarvis902@mail.com,4,Deloise,F,High School,Jarvis,,Widowed,,588-0563,47848,,6-3-1999,Mrs,IN
